track_name,artist_name,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_uri
Blackjack,yuchaP,158926,0.000689,0.445,0.903,0,8,0.213,-3.169,1,0.0402,114.09,4,0.71,38,spotify:track:7HIy8ajP3ldKI9txACAzzy
Love Trial,40mP,219781,0.0318,0.71,0.851,0,1,0.342,-2.633,0,0.0382,134.004,4,0.895,47,spotify:track:7oa18QwhLsV3JfITGDxslD
God-ish,PinocchioP,203760,0.246,0.652,0.811,1.35e-05,7,0.304,-7.125,0,0.0964,142.046,4,0.538,52,spotify:track:206UWNKXURTnN4zf9vmXUV
Common World Domination,PinocchioP,200900,0.00855,0.514,0.969,0.000681,1,0.2,-2.908,0,0.126,149.907,4,0.757,43,spotify:track:1A0k6cjkrCxH3Hx7Awb2G2
人生 (feat. 初音ミク&鏡音リン&鏡音レン&巡音ルカ&MEIKO&KAITO),アンメルツP,148732,0.28,0.344,0.917,0,9,0.297,-8.451,1,0.181,92.204,3,0.646,21,spotify:track:5oNOhnjGimInGWzVXPqbMF
ロミオとシンデレラ,doriko,280960,0.013,0.454,0.954,0.00518,1,0.232,-3.856,1,0.0523,170.153,4,0.741,41,spotify:track:0kiDN35Ern4Mi3rqv3dP6D
+♂,gigaP,216000,0.106,0.542,0.975,0,0,0.269,-3.311,1,0.227,180.063,4,0.775,41,spotify:track:0Mv4LkaBvDlF2VLpBRRleR
おちゃめ機能,Lon,252067,0.14,0.636,0.921,2.33e-05,9,0.074,-3.035,1,0.0794,150.022,4,0.761,39,spotify:track:0vziRWZny2GDwHX2UYJxa2
アイディスマイル (feat. 宵崎奏&朝比奈まふゆ&東雲絵名&暁山瑞希&MEIKO),25時、ナイトコードで。,180625,0.271,0.696,0.791,2e-05,0,0.122,-5.579,1,0.0848,171.01,4,0.83,54,spotify:track:6D83eyksFpi3mIIs3KMWrS
Melancholy,ayiko,195134,0.156,0.813,0.893,0.00278,7,0.0922,-2.977,0,0.0391,119.985,4,0.576,23,spotify:track:2ppiNzN0ln7cHQ5rQBPlK2
蜜月アン・ドゥ・トロワ,DATEKEN,252973,0.698,0.427,0.57,0.000283,2,0.33,-4.798,0,0.0303,183.843,3,0.57,40,spotify:track:2C4AUUbJk0Gd82sJYZrOx8
炉心融解,iroha(sasaki),329038,0.0298,0.555,0.976,0.00192,2,0.205,-0.171,1,0.151,164.967,4,0.379,51,spotify:track:705CVl7WvtnJgVpGIgZ6dQ
ヒバナ -Reloaded-,DECO*27,206440,0.00833,0.588,0.936,2.29e-05,10,0.108,-3.82,0,0.0748,99.967,4,0.72,52,spotify:track:3g2jMbl3XTP0k0cYb5rN6p
Echo,Crusher-P,230029,0.082,0.637,0.906,0,3,0.125,-3.099,0,0.0522,140.025,4,0.36,55,spotify:track:2pDPOMX0kWA7kcPBcDCQBu
白い雪のプリンセスは (feat. 初音ミク),Noboru,261900,0.00417,0.276,0.867,3.22e-06,1,0.177,-3.759,0,0.0477,199.703,4,0.723,26,spotify:track:24m0QkRKCICSr6Ma0i0eva
PaIII.AGITATION (feat. 初音ミク×GUMI×鏡音リン),Yunosuke,215166,0.0504,0.579,0.932,0.0163,5,0.355,-2.39,0,0.0399,180.027,4,0.963,26,spotify:track:7o3GPBlq0X0otPk0LX1CmI
右肩の蝶,noripy,263640,0.0149,0.566,0.999,0.144,4,0.282,-2.723,0,0.0693,139.974,4,0.96,50,spotify:track:3g3aU6Rlwv4DRSv63KsL4d
カンタレラ,KuroUsa,179453,0.251,0.538,0.72,0,10,0.0643,-4.641,0,0.0341,144.114,4,0.844,45,spotify:track:5nvcwCiRhUMHPSSUZCUqbz
Karakuri Pierrot,40mP,249600,0.569,0.449,0.871,1.93e-06,7,0.401,-2.365,0,0.0714,204.048,4,0.786,37,spotify:track:4HhBcYAKUh31STh1qroLBR
ハウトゥー世界征服,Neru,213267,0.109,0.591,0.918,1.05e-06,11,0.091,-2.536,0,0.0999,151.058,4,0.549,36,spotify:track:4Ojt5gWifge2rBRpQfWxjI
Ifuudoudou,UMETORA,202000,0.00557,0.673,0.942,0,5,0.36,-5.163,0,0.107,130.003,4,0.793,48,spotify:track:6VVTOoblmGJDgLJOyOBwDF
一心不乱,UMETORA,197218,0.107,0.584,0.891,7.08e-05,1,0.0725,-1.488,0,0.0451,141.993,4,0.872,32,spotify:track:75EGAQg5gJhUz69GSYufBt
"Hello,Woker",KEI,233333,0.32,0.533,0.84,0,9,0.186,-4.482,1,0.0312,167.957,4,0.625,21,spotify:track:0PSHXVkRSVOcZMRXJchtyo
帝国少女,R Sound Design,254237,0.0739,0.603,0.87,3.28e-06,4,0.0562,-2.248,1,0.0367,117.994,4,0.684,43,spotify:track:5MyB548UcM38O2emb7HPDj
88☆彡 (feat. 初音ミク&KAITO),Marasy,128914,0.0428,0.491,0.932,1.36e-06,1,0.328,-2.779,0,0.0454,174.817,4,0.335,43,spotify:track:4LDpGNqQdPA0iMxi6n0YVn
迷的サイバネティックス (feat. 巡音ルカ),otetsu,248165,0.0478,0.482,0.936,0,1,0.3,-2.846,0,0.0576,144.96,4,0.446,20,spotify:track:0Y9NKOkNxTbiA6Dm64QvGQ
ビバハピ,Mitchie M,215840,0.0206,0.61,0.989,0.000157,4,0.655,-2.877,0,0.0831,147.991,4,0.77,44,spotify:track:4P0f1HTaA2UwtLJGryNgJZ
lower one's eyes,ぬゆり,230000,0.0355,0.62,0.944,8.95e-05,10,0.206,-3.361,0,0.134,132.05,4,0.801,49,spotify:track:3P8sZzCeWXnBieW9XxE02Y
ブラックゴールド (feat. 巡音ルカ),otetsu,252000,0.00837,0.454,0.993,7.14e-06,6,0.162,-1.157,0,0.119,125.002,4,0.425,25,spotify:track:0UK2AmpnaBGM5UQtSLASFh
エゴロック - long ver.,すりぃ,169529,0.0435,0.537,0.99,0,0,0.257,-2.534,0,0.199,112.574,4,0.433,53,spotify:track:2FRMwFXODegegRrfLAeVwx
砂の惑星 feat.初音ミク,hachi,238875,0.0883,0.513,0.935,0,5,0.163,-2.837,0,0.0892,94.963,4,0.877,52,spotify:track:2RBQ84niVRC6bBdhe7lc9F
天樂,Yuuyu,274267,0.00108,0.571,0.971,0.0724,11,0.124,-1.303,0,0.0791,115.992,4,0.547,35,spotify:track:79HcrcBQ6s2gDpetLznvAt
Hana Wo Utau,Shino,206609,0.0385,0.677,0.809,1.8e-05,11,0.639,-4.511,1,0.0554,114.996,4,0.92,31,spotify:track:2nMv7p0ewXCOElhIzUrnDr
"Newly Edgy Idols (feat. Hatsune Miku, Kagamine Rin, Megurine Luka, Meiko)",Mitchie M,229091,0.000121,0.472,0.968,0.0239,1,0.325,-2.158,1,0.0419,175.971,4,0.708,38,spotify:track:4dCEyujUOXbLxF3FS8ffFM
track_name,artist_name,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_uri
SUMMER,BROCKHAMPTON,204939,0.847,0.497,0.55,0.049,8,0.119,-6.13,1,0.0257,79.955,4,0.542,58,spotify:track:66dQdXAbtuPdSasezCQVZE
Me & You ◑,HONNE,243601,0.645,0.769,0.546,0.000231,0,0.0948,-8.27,0,0.0387,120.22,4,0.603,56,spotify:track:1ITJTMrS4cx8zdlI7DdSoo
Stolen Dance,Milky Chance,313684,0.427,0.885,0.581,0.000204,11,0.0759,-8.813,1,0.0378,114.016,4,0.728,70,spotify:track:6vECYJHxYmm3Ydt3fF01pE
weekends,Hojean,214659,0.629,0.57,0.278,0,5,0.108,-10.521,1,0.0284,73.994,4,0.11,47,spotify:track:14DHQhxhnDnYMi4o4ABfHu
Wrong About Forever,Jeff Bernat,198472,0.537,0.603,0.439,0,0,0.191,-8.995,1,0.118,64.003,4,0.257,58,spotify:track:6P2BlKa7uBwKV6KVsEBkmv
Over 85,Hojean,204014,0.0824,0.644,0.522,0,0,0.122,-8.197,0,0.0273,99.999,4,0.477,48,spotify:track:6KhT7CK6FL0BnI3nVPqv4F
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,157560,0.533,0.755,0.522,0,2,0.0685,-4.368,1,0.0575,89.96,4,0.925,78,spotify:track:0RiRZpuVRbi7oqRdSMwhQY
say what's on your mind,slchld,173740,0.81,0.676,0.462,0.0286,6,0.222,-4.207,0,0.037,78.959,4,0.369,49,spotify:track:5sZOGj6SfzD7lWpwKhF6oE
Vintage,NIKI,177320,0.0114,0.771,0.816,0.000963,2,0.339,-7.104,1,0.0581,104.958,4,0.438,57,spotify:track:1NCUe90ZCiWTnWn3umrwqw
Lover Is a Day,Cuco,456000,0.0427,0.406,0.647,0.193,3,0.1,-10.453,1,0.0413,180.044,4,0.344,28,spotify:track:76tGvMdmFKuiMew33ZNNA9
"she likes spring, I prefer winter",slchld,207436,0.556,0.39,0.661,0,9,0.264,-6.68,1,0.0604,79.56,4,0.487,60,spotify:track:3vWeZSOhhmOai0Go0zKm5j
camellia,slchld,151212,0.479,0.714,0.56,0,10,0.157,-4.742,1,0.0662,109.934,4,0.945,54,spotify:track:7kpe2K0hdSssLj4G4YjxdU
Day 1 ◑,HONNE,233601,0.21,0.503,0.581,0.000708,6,0.257,-7.007,1,0.0881,94.555,4,0.633,61,spotify:track:6ZzYETKetIfNUsZUb23jgG
Cherry Wine,grentperez,173286,0.345,0.761,0.565,0,11,0.0825,-7.016,0,0.0411,105.008,4,0.583,27,spotify:track:1a1LrfgkTvfHFykIxcv8WU
Easily,Bruno Major,210240,0.491,0.772,0.256,0.00612,7,0.144,-8.545,0,0.0481,118.902,3,0.357,27,spotify:track:2k9N4caeCIJLOWwWwssrEM
What 2 Do,DEAN,224099,0.249,0.632,0.531,0,8,0.346,-5.669,1,0.0333,95.061,4,0.511,56,spotify:track:6GS3lnAVy5w6AHWEKYzYeS
Pick Up Your Phone,Hojean,169413,0.0513,0.855,0.546,0.000292,0,0.0725,-5.192,1,0.0364,94.989,4,0.869,48,spotify:track:5jDpJZ4AV0YVV8o9Ez2U9s
Best Friend,Rex Orange County,262231,0.395,0.575,0.714,0,6,0.115,-5.247,1,0.0596,144.982,4,0.32,32,spotify:track:47Bg6IrMed1GPbxRgwH2aC
beside you,keshi,166023,0.459,0.711,0.747,0,0,0.0957,-6.335,1,0.0523,136.0,4,0.852,70,spotify:track:1Fhb9iJPufNMZSwupsXiRe
Newsflash!,NIKI,204427,0.086,0.734,0.373,0,7,0.0913,-8.997,0,0.146,79.998,4,0.481,48,spotify:track:4jbA7VSQHZeWLktuUuHWbz
Constant,Jesse Barrera,190348,0.492,0.668,0.427,1.44e-05,9,0.201,-8.74,1,0.0271,87.031,4,0.604,58,spotify:track:12ZYXSzFJUSrFyO1u3Ylqx
Text Me,DPR LIVE,177343,0.146,0.846,0.592,0,5,0.258,-6.452,0,0.28,134.024,4,0.757,58,spotify:track:1dN4Z7wZTQXLEl33RkMO3a
Nothing,Bruno Major,162797,0.931,0.555,0.27,0.536,2,0.103,-15.892,1,0.0884,139.691,3,0.274,31,spotify:track:2IAR0DziHCjSu16gR4ihvy
Show Me That You Care,Hojean,212241,0.712,0.49,0.406,0,1,0.293,-9.746,1,0.0465,174.049,4,0.302,48,spotify:track:4nr88Lwd89TGdccRQEWfsS
instagram,DEAN,255729,0.196,0.463,0.566,0,8,0.284,-6.195,1,0.145,93.921,4,0.219,65,spotify:track:6z1kLsntE7FuzKZHZWrXYN
Wednesday Girl,Elijah Who,194064,0.162,0.567,0.634,2.81e-06,11,0.148,-9.274,0,0.0439,79.873,4,0.377,36,spotify:track:1yL848z599Q39USEY7JuDJ
Drive Safe,Rich Brian,240118,0.635,0.635,0.312,0,7,0.138,-8.134,1,0.0265,98.017,4,0.414,57,spotify:track:6eDfe957aV4sqGnDhlSikJ
Shouldn't Be,Luke Chiang,210436,0.738,0.651,0.291,0,4,0.115,-10.009,1,0.0326,124.898,3,0.302,20,spotify:track:3wefloF3t1sFZx8YMFhqYB
Used to Me,Luke Chiang,179500,0.32,0.776,0.508,1.53e-05,5,0.329,-6.973,0,0.151,100.048,4,0.692,10,spotify:track:3XRCW9Ty46AMuKEPFjAZom
This Is A Life - Extended,Son Lux,215000,0.554,0.266,0.135,8.77e-06,9,0.127,-15.924,1,0.037,80.329,4,0.0702,43,spotify:track:2YDj0uV5P7kKN4gGcUMEJT
Love Affair,UMI,190960,0.129,0.613,0.488,2.13e-05,8,0.335,-7.37,1,0.0964,172.076,4,0.183,64,spotify:track:4ZaRg5Sf4TKr0YcFRLh7QJ
Lose,NIKI,256001,0.846,0.41,0.316,0,0,0.124,-8.13,1,0.029,133.288,4,0.22,50,spotify:track:7rgjkzZBhBjObaYsvq8Ej0
Memories,Conan Gray,248819,0.00979,0.34,0.684,0,11,0.348,-6.306,1,0.044,112.969,4,0.556,71,spotify:track:7AYP21Q4qnxw2WxETEvSRb
Still,Jeff Bernat,226927,0.581,0.485,0.315,0.000349,4,0.11,-11.599,1,0.0946,134.714,4,0.425,59,spotify:track:6sv7ZmasB6qSiF8hWJNpDG
Happiness,Rex Orange County,279693,0.734,0.399,0.235,1.56e-06,5,0.161,-9.774,1,0.0334,105.645,3,0.197,26,spotify:track:2rXVtoLBHuXcNB5DVfIc9p
Loving Is Easy (feat. Benny Sings),Rex Orange County,155720,0.217,0.756,0.609,0.00482,3,0.0959,-7.927,1,0.0544,117.024,4,0.537,28,spotify:track:5EYi2rH4LYs6M21ZLOyQTx
D (Half Moon),DEAN,229360,0.246,0.512,0.765,0,7,0.0573,-5.252,1,0.136,169.709,4,0.519,61,spotify:track:3uA8SjMyDtwtt0jLPMQbVD
Don't Look Back,PREP,271800,0.396,0.736,0.421,0.00262,0,0.0875,-9.469,0,0.05,75.013,4,0.496,2,spotify:track:4Fhlg7UFKHbvBZgsHu6K89
Cherry Cola,Kuwada,184360,0.764,0.777,0.635,2.25e-06,5,0.155,-6.323,0,0.0392,138.04,4,0.653,56,spotify:track:44uCMdE6RWnkOFYTtbmUUc
