track_name,artist_name,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_uri
I Think We're Alone Now,Tommy James & The Shondells,130320,0.0722,0.783,0.42,0.0316,11,0.0692,-11.05,0,0.103,131.75,4,0.716,53,spotify:track:3AXDLGI5TIYi72JcYFvNpv
Te Tocó Perder,Remmy Valenzuela,178507,0.42,0.673,0.896,0,10,0.272,-1.65,1,0.083,112.461,3,0.916,44,spotify:track:7E58XiukfCdKmfBQZpr44Y
"Tarantula (Ft. Fresh, $Pyda & Tenor Fly)",Pendulum,331240,0.000122,0.514,0.899,0.0793,7,0.367,-5.115,1,0.0602,174.028,4,0.266,21,spotify:track:7ifq3etzDP60X1IRaFVngl
Jingle Bells,Jim Reeves,108200,0.831,0.542,0.365,0,0,0.305,-12.526,1,0.0247,95.076,4,0.906,32,spotify:track:1TrYvfruL0Q2bP0aL1odLI
How Could You Leave Us,NF,322587,0.513,0.536,0.708,0,6,0.0951,-7.882,1,0.758,78.33,4,0.09,63,spotify:track:10bt2wAkFgCWRCEOyAyWT9
Greygoose,Yung Lean,196000,0.806,0.604,0.381,0.741,9,0.118,-16.357,0,0.0318,110.006,4,0.335,0,spotify:track:0TcyLymzEmBXIEAhsahCdu
Undenied,Portishead,260040,0.457,0.304,0.285,9.92e-06,0,0.0936,-8.72,1,0.0353,147.718,4,0.0311,0,spotify:track:24Fn8UTT8Glox4QxEXjykO
Yesterday - Remastered,The Beatles,125667,0.879,0.332,0.179,0,5,0.0886,-11.83,1,0.0326,96.529,4,0.315,3,spotify:track:1e0hllQ23AG0QGFgezgLOq
Come On Get Higher,Matt Nathanson,215173,0.241,0.672,0.623,0,9,0.0848,-5.699,1,0.0297,92.018,4,0.617,65,spotify:track:38YgZVHPWOWsKrsCXz6JyP
Rocket,Beyoncé,391907,0.499,0.495,0.403,0,1,0.7,-9.732,1,0.299,140.365,3,0.563,55,spotify:track:0755vnFQZLSgHHWbR1qCjY
Money Made Me Do It (feat. Luu Breeze),A-Game,261667,0.0149,0.75,0.824,0,10,0.169,-3.06,0,0.272,77.553,4,0.339,13,spotify:track:4me0OBOTytnhzlDoqrgS3d
"Christmas Ain't Christmas, New Years Ain't New Years Without The One You Love",The O'Jays,136360,0.599,0.528,0.433,0,3,0.457,-12.278,1,0.0385,129.977,4,0.722,0,spotify:track:6U8TcYGLSinKxjtfPcCPrh
Necta (Butterfly),Sashamon,305987,0.107,0.887,0.528,0.00158,7,0.0613,-7.59,1,0.0862,144.118,4,0.729,40,spotify:track:2ZUjks7eu5jmj2qnWLm8qm
All Of The People,Panama Wedding,215613,0.0299,0.685,0.696,0.00144,5,0.0662,-5.697,0,0.0533,89.976,4,0.95,0,spotify:track:5Kd5uREX2CcXvFigm5oMdU
Just Friends (Sunny),Musiq Soulchild,251427,0.404,0.754,0.376,0,0,0.358,-7.561,1,0.204,95.018,4,0.554,57,spotify:track:5jgEJXjECdlhzNgfITSTVm
