track_name,artist_name,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_uri
Boy With Luv (feat. Halsey),BTS,229773,0.0923,0.645,0.862,0,11,0.192,-4.757,0,0.0965,119.991,4,0.798,3,spotify:track:5KawlOMHjWeUjQtnuRs22c
Adios,EVERGLOW,189147,0.000587,0.633,0.706,0.0795,10,0.245,-5.137,0,0.0627,128.187,4,0.399,0,spotify:track:5uHl2eYaITSX6xEX8bmaXy
Treasure,ATEEZ,220846,0.0827,0.657,0.866,0,6,0.081,-3.464,0,0.0704,133.966,4,0.654,50,spotify:track:0SDUepNAC5xZPkIEb6Kpce
LATATA,(G)I-DLE,202773,0.00427,0.774,0.792,1.15e-06,9,0.283,-4.019,0,0.224,98.1,4,0.505,61,spotify:track:2ezKXygNO30pXyDQXkm6oD
We don’t talk together,HEIZE,199216,0.039,0.64,0.734,0,11,0.333,-4.67,0,0.0381,97.862,4,0.308,0,spotify:track:77dcmf2tTedc3BuOPF13Ma
FUN!,fromis_9,183413,0.0363,0.693,0.93,0,8,0.0643,-2.001,1,0.0735,123.986,4,0.799,0,spotify:track:2yEjyto6ztOMGffProMlgX
BOOMBAYAH,BLACKPINK,240849,0.00264,0.658,0.836,1.02e-06,5,0.507,-3.282,0,0.0549,124.969,4,0.387,0,spotify:track:3yHQKddM8SVCRnuPSo3HPN
Superhuman,NCT 127,237853,0.0438,0.679,0.797,0,2,0.0748,-4.627,1,0.338,117.018,4,0.609,51,spotify:track:4baWaXmm0BFFT3Qe3uSvs9
달라달라 (DALLA DALLA),ITZY,199874,0.00116,0.79,0.853,4.23e-05,11,0.329,-4.564,0,0.0665,124.998,4,0.713,0,spotify:track:0GU5GuJQQEnnREO2FxnVPT
Really,BLACKPINK,197789,0.0235,0.696,0.881,0,1,0.277,-2.082,1,0.104,142.019,4,0.947,0,spotify:track:5qA5DAR5xTjQUGrl0eBbmR
Highway to Heaven,NCT 127,200573,0.0297,0.642,0.729,0,6,0.102,-5.005,1,0.056,112.966,4,0.536,46,spotify:track:38dC0QJ7eBKb3F27O0i0LT
Bad Boy,Red Velvet,210818,0.191,0.714,0.736,0,2,0.0553,-3.801,1,0.0457,149.985,4,0.814,70,spotify:track:5GKwq4sO5ZHKuWaDmdwMQc
LALALAY 날라리,SUNMI,174880,0.00133,0.699,0.806,0,11,0.0579,-4.818,0,0.0494,110.014,4,0.615,0,spotify:track:6sWd8ZAH5bWWyjwb7ZV2Zb
WANT IT?,ITZY,200303,0.0428,0.745,0.951,0.00386,5,0.203,-2.425,1,0.0527,127.957,4,0.606,0,spotify:track:2DvBbpZ9MjOQZs2HtN5Ake
Chica,CHUNG HA,192484,0.173,0.556,0.842,0,1,0.31,-3.019,0,0.173,95.037,4,0.657,0,spotify:track:6wV0zmb3delVInoCiWdEdZ
Sunrise,GFRIEND,216488,0.428,0.453,0.849,0,6,0.1,-1.337,0,0.125,173.917,4,0.638,51,spotify:track:1e7eOq89QU6vGYCJp9yW2L
Anpanman,BTS,232966,0.0237,0.813,0.875,0,1,0.288,-2.92,0,0.0918,99.004,4,0.756,0,spotify:track:4lRwa7PKcGIuJMwtPIYKdy
KILLING ME,iKON,193734,0.465,0.76,0.672,0,9,0.205,-5.277,0,0.0732,127.986,4,0.505,0,spotify:track:27kB4qLUCV8nZd2eOgj1Tk
AH YEAH,WINNER,176906,0.356,0.797,0.722,0,7,0.177,-5.051,1,0.0388,128.01,4,0.878,0,spotify:track:2WDhYlm5gBepkMZHBk0LN7
Save Me,BTS,196506,0.0269,0.614,0.823,0,1,0.0783,-3.48,1,0.062,139.948,4,0.539,0,spotify:track:54s6sdPuMjVtdB5d5KFzTC
PLAYING WITH FIRE,BLACKPINK,197355,0.0399,0.707,0.758,0,4,0.141,-4.511,0,0.0917,97.037,4,0.674,0,spotify:track:7e7VjLxO5xJINHvnRytrqi
IDOL,BTS,222732,0.00481,0.734,0.855,0,9,0.123,-3.211,1,0.118,126.035,4,0.422,1,spotify:track:2AIWoHr9DF6y4KALCBKWQS
La Vie en Rose,IZ*ONE,218994,0.0899,0.698,0.908,0,9,0.115,-1.211,0,0.0548,115.975,4,0.606,0,spotify:track:1fRaznZsAB2i63TtmYv2Hc
Don't Know What To Do,BLACKPINK,201081,0.0992,0.628,0.64,0,6,0.138,-4.164,0,0.0491,129.815,4,0.409,0,spotify:track:0zYqFyhiTj419q56lNsjk0
Zimzalabim,Red Velvet,190860,0.0028,0.68,0.878,2.22e-05,5,0.336,-4.791,0,0.179,127.991,4,0.531,50,spotify:track:0GUbhhI5fRx7BlqlqlhjuB
