track_name,artist_name,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_uri
Someday,Sugar Ray,242800,0.0105,0.745,0.682,0.0862,1,0.21,-4.39,0,0.0287,110.857,4,0.938,57,spotify:track:6zeDYmP3ARpURvpK29Q09P
Canon in D,Johann Pachelbel,376533,0.808,0.151,0.125,0.308,2,0.121,-20.414,1,0.0386,150.812,4,0.29,51,spotify:track:1c3GkbZBnyrQ1cm4TGHFrK
Easy Chair,The Easy Button,196811,0.031,0.5,0.817,0,8,0.161,-5.016,1,0.0362,75.994,4,0.538,0,spotify:track:2wsG9upvLmegs4yCWitXyR
Bobby Brown Goes Down,Frank Zappa,169067,0.245,0.594,0.565,0,0,0.123,-10.249,1,0.175,136.507,4,0.755,53,spotify:track:4tSTpnw8UYNlroCEo774tm
Suburban Wasteland,Mike Krol,105907,0.00106,0.334,0.729,5.15e-06,11,0.359,-7.165,1,0.0572,130.353,3,0.197,13,spotify:track:1vrpXUDBZTA45j5K6ITsXU
Macho!,XANAKIN SKYWOK,109899,0.0878,0.829,0.317,0.0157,1,0.31,-13.95,1,0.273,105.027,4,0.178,52,spotify:track:6OaHvJY8B6hZf5onw9DkNy
Chop,Vundabar,170880,0.429,0.438,0.771,0.772,1,0.417,-7.808,1,0.0359,80.586,4,0.402,0,spotify:track:6sZPUDlyfWPwoxdC9zxbds
The One You Really Love,The Magnetic Fields,173293,0.823,0.532,0.524,0.000308,8,0.193,-9.254,1,0.0285,99.54,4,0.655,28,spotify:track:5WFSyW3Ymg4rjKn2xbvBfJ
I Need You To Turn To,Elton John,152907,0.825,0.385,0.252,0,2,0.139,-13.599,1,0.033,124.722,3,0.305,23,spotify:track:1cfmyx9rioD4CPMNUHdgAh
Nicole,Ween,560667,0.164,0.867,0.456,0.139,4,0.691,-11.127,1,0.074,100.092,4,0.664,20,spotify:track:53SvLCz3at2p9GtTvuvEHN
Amour plastique,Videoclub,227027,0.765,0.7,0.354,0.00158,6,0.128,-14.043,0,0.0345,119.965,4,0.245,64,spotify:track:7M3HuQRRAm1QD4kftmq0bb
The Chain - 2004 Remaster,Fleetwood Mac,270213,0.009,0.545,0.67,0.000822,9,0.0451,-8.81,1,0.0496,151.553,4,0.481,77,spotify:track:5e9TFTbltYBg2xThimr0rU
Sucked Out,Superdrag,166800,0.0366,0.403,0.767,0,4,0.318,-6.743,1,0.0431,125.469,4,0.743,40,spotify:track:4YN94yxYWFfhk9YbmOIqR4
Live And Let Die - 2018 Remaster,Wings,192773,0.0797,0.391,0.375,0.013,7,0.143,-12.573,1,0.046,153.802,4,0.116,61,spotify:track:0VV8wkOM4w78A2OHZOTzNP
Spirits,The Strumbellas,203653,0.164,0.556,0.658,0,0,0.113,-6.075,1,0.0265,80.529,4,0.787,25,spotify:track:7GJ572zvnU94VZVrj5XRtb
I'll Be Here in the Morning,Townes Van Zandt,180107,0.887,0.558,0.17,0.037,4,0.113,-18.882,1,0.0331,76.835,4,0.635,51,spotify:track:0HLBLRkkTOlAmjonShicD0
Killing In The Name,Rage Against The Machine,313573,0.0266,0.466,0.833,0,7,0.0327,-4.215,1,0.304,88.785,4,0.661,76,spotify:track:59WN2psjkt1tyaxjspN8fp
Pepsi/Coke Suicide,Elvis Depressedly,153095,0.742,0.39,0.419,0.937,0,0.143,-9.049,1,0.0302,79.807,4,0.318,0,spotify:track:2MQi8oVx3eOgDOqmeKJIJZ
Guillotine,Death Grips,223364,0.0678,0.561,0.64,0.000387,11,0.148,-5.042,0,0.287,78.464,4,0.196,47,spotify:track:3IrcvqIf3ZiBhf3xdsctRX
Salad Days,Mac DeMarco,145893,0.0877,0.431,0.771,0.0214,5,0.121,-7.176,1,0.0375,201.002,4,0.772,62,spotify:track:5VdaMUzoQetwxQwtWAd022
Father And Son,Yusuf / Cat Stevens,221120,0.541,0.495,0.326,8.85e-05,7,0.0996,-12.29,1,0.0365,136.243,4,0.371,69,spotify:track:476V2d6iA2tWXgQboKmTtA
So Bored,Wavves,193627,0.0522,0.355,0.873,0.873,9,0.101,2.017,1,0.0438,79.995,4,0.258,18,spotify:track:6fyaYe9CJsUo8412g22Uve
In Spite of Ourselves (feat. Iris DeMent),John Prine,213600,0.67,0.547,0.277,0,0,0.091,-11.327,1,0.0429,153.974,4,0.684,56,spotify:track:1k691v8ChLgDiuLLKnjyj6
Black Sheep - Brie Larson Vocal Version,Metric,294066,0.000278,0.462,0.599,0.000441,11,0.0909,-5.735,0,0.0375,123.938,4,0.173,63,spotify:track:60TThBDrPpek5k520l0W0L
Bad Girls,Tennis,271440,0.217,0.543,0.69,0.0834,11,0.153,-5.992,1,0.0295,165.037,3,0.51,30,spotify:track:3o6cyNUUVQ55klr7tswS1c
Undone - The Sweater Song,Weezer,305533,0.00114,0.457,0.618,0.00257,6,0.0679,-6.682,1,0.0296,80.184,4,0.579,67,spotify:track:5WhtlIoxoZrMmuaWWEQhwV
Mon autre,Juniore,220733,0.00398,0.576,0.907,0.915,0,0.106,-6.403,1,0.0423,164.948,4,0.624,35,spotify:track:1ysM1tOpKQY06V96Lw3gmk
"Preludes, Op. 28: No. 4, Largo",Frédéric Chopin,131200,0.991,0.376,0.0164,0.866,9,0.116,-25.933,0,0.0475,108.821,4,0.0364,59,spotify:track:5XfmcJMAaifjRrIdLaXVLm
I Love You Like An Alcoholic,The Taxpayers,215933,0.384,0.61,0.424,0.000148,4,0.11,-6.489,0,0.0311,108.416,4,0.207,63,spotify:track:7u63zva845rv8tRFi9FG8a
Flip Flop,Yucky Duster,99704,0.00856,0.489,0.836,0.644,2,0.0334,-5.554,1,0.0875,90.137,3,0.646,31,spotify:track:7p529meBch4lKsX1fRlY9i
Cocaine,FIDLAR,452739,0.0275,0.265,0.463,0.000227,9,0.0766,-6.004,1,0.079,82.48,4,0.119,32,spotify:track:30T7gfRHCbMLwsjR9z4Kiq
Walk On the Wild Side,Lou Reed,254173,0.683,0.575,0.318,0.000202,0,0.0934,-16.729,1,0.109,104.522,4,0.385,69,spotify:track:5p3JunprHCxClJjOmcLV8G
Space Worm,Don't Stop or We'll Die,175067,0.0382,0.492,0.77,1.22e-05,4,0.624,-6.021,1,0.0479,202.458,4,0.857,31,spotify:track:4e8MSmu44tIV0ZsHSna5Q0
Let 'Em In - 2014 Remaster,Wings,311880,0.491,0.761,0.482,0.31,10,0.0864,-11.849,1,0.0572,88.054,4,0.626,51,spotify:track:37RqEET1SYQaAcHDxDQLZY
"Welcome Home, Son",Radical Face,287634,0.723,0.587,0.497,0.782,6,0.142,-10.757,1,0.0307,144.972,3,0.401,65,spotify:track:6HTVZeVQ9J6Uiq6tHESxU9
Dance All Night,Free Energy,315533,0.396,0.635,0.562,0.015,9,0.29,-6.309,1,0.0257,109.997,4,0.478,15,spotify:track:4W6iH7M3YnRNF84n7pj7LN
Wet,Dazey and the Scouts,170931,0.0206,0.49,0.934,7.24e-06,9,0.755,-5.06,0,0.05,95.839,4,0.62,56,spotify:track:1pMEVQiiBtlhBjRxOVqVVH
Where Did Our Love Go,The Supremes,153333,0.791,0.566,0.49,1.42e-05,0,0.0919,-10.867,1,0.0414,134.934,4,0.847,61,spotify:track:69RH84na5iUNwrwxpgjC5j
DRUGS,DREAMERS,191973,0.00392,0.588,0.88,2.34e-06,7,0.109,-3.388,1,0.0379,101.006,4,0.43,35,spotify:track:3a3X8tGK0xQNMhGWLrTO28
Sockhead,Destructo Disk,233984,0.83,0.598,0.225,0,3,0.115,-11.141,1,0.0332,94.154,4,0.12,27,spotify:track:3goVSfwAZZJ5p56M7psxIk
Femme Fatale,The Velvet Underground,159000,0.913,0.55,0.145,0,0,0.118,-15.753,1,0.0332,103.918,4,0.138,59,spotify:track:3PG7BAJG9WkmNOJOlc4uAo
I Look Up To You,LAKE,183773,0.862,0.379,0.391,0.674,0,0.114,-16.252,1,0.035,110.559,4,0.28,32,spotify:track:1xvjheXyyxpS6zBM3SYC5g
Cocaine Blues,Dave Van Ronk,256173,0.89,0.604,0.103,0.000158,1,0.113,-19.879,1,0.0401,121.386,4,0.347,7,spotify:track:6t5lUqUP4okIeVOnn6t3qt
Slow Dancing in a Burning Room,John Mayer,242000,0.575,0.667,0.361,0.00506,1,0.0805,-8.69,0,0.0273,134.018,5,0.29,71,spotify:track:2jdAk8ATWIL3dwT47XpRfu
Pheromones,Meth Wax,156925,0.148,0.179,0.736,0.9,7,0.23,-7.66,1,0.0347,174.564,4,0.83,45,spotify:track:05EzpG5riTDvvmrZJgcBPV
The Waker,Widespread Panic,221760,0.0278,0.479,0.901,0.564,7,0.421,-4.595,1,0.0292,105.344,4,0.438,36,spotify:track:3StH6LNOpHDzSSUmEpti9y
California Dreamin' - Single Version,The Mamas & The Papas,162373,0.352,0.552,0.608,0,1,0.0533,-9.786,0,0.0345,112.367,4,0.637,76,spotify:track:4s6LhHAV5SEsOV0lC2tjvJ
Suburban Home,Descendents,100333,3.82e-05,0.385,0.776,0,2,0.346,-9.347,1,0.0389,99.772,3,0.833,48,spotify:track:7Meu81YN9Ols2nQdbkKbbh
I Will Follow You into the Dark,Death Cab for Cutie,189187,0.924,0.517,0.206,0,5,0.118,-12.233,1,0.0421,80.401,4,0.489,62,spotify:track:3kZC0ZmFWrEHdUCmUqlvgZ
Clay Pigeons,Michael Cera,186000,0.97,0.292,0.241,0.00989,6,0.105,-17.001,1,0.0428,172.175,4,0.441,57,spotify:track:0XgRWgcs0Pcr9PSIdFWD4N
People Are Strange - New Stereo Mix,The Doors,130747,0.655,0.7,0.418,0,4,0.195,-11.238,0,0.033,119.627,4,0.721,38,spotify:track:3VQX2NKN51EK57bfKeC3mQ
Hanging from the Ceiling,The Velveteins,272387,0.0998,0.318,0.736,0.00534,11,0.14,-7.982,1,0.0456,200.051,3,0.364,35,spotify:track:2OMH9Em0QhTxLt5e4kBmqE
Sports,Viagra Boys,237547,0.00138,0.425,0.77,0.268,2,0.641,-4.765,1,0.0463,129.452,4,0.902,1,spotify:track:5eKlV4rpVpNh4MRYlth0sj
Tommy's Holiday Camp,The Who,57154,0.893,0.766,0.35,0.108,11,0.121,-16.038,1,0.0877,136.646,4,0.719,24,spotify:track:17YLk1kEDcSG0S0ii4Mmbd
track_name,artist_name,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_uri
My Iron Lung,Radiohead,276427,0.056,0.242,0.859,0.116,0,0.38,-8.4,1,0.0663,96.929,4,0.671,0,spotify:track:4dPKQxaraW6CG1rTBzV6DW
The One You Really Love,The Magnetic Fields,173293,0.823,0.532,0.524,0.000308,8,0.193,-9.254,1,0.0285,99.54,4,0.655,0,spotify:track:5Ugy833dkecXYxX8CKGaro
